,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
0, Synfig ,https://summerofcode.withgoogle.com//programs/2022/organizations/synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,2
1, FRRouting ,https://summerofcode.withgoogle.com//programs/2022/organizations/frrouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM","c, linux, networking, linux kernel, routing","networking, software defined networking, linux, routing, systems",https://frrouting.org/,1
2, LibreHealth ,https://summerofcode.withgoogle.com//programs/2022/organizations/librehealth,Healthcare for Humanity,"python, javascript, android, java, dart/flutter","web, deep learning, hfoss, radiology, mobile apps",https://librehealth.io,4
3, LibreOffice ,https://summerofcode.withgoogle.com//programs/2022/organizations/libreoffice,LibreOffice is a free and open source office suite,"python, java, c++","office suite, desktop application, end user application",https://www.libreoffice.org/,2
4, Ste||ar group ,https://summerofcode.withgoogle.com//programs/2022/organizations/stear-group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,4
5, The FreeBSD Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-freebsd-project,An OS for servers to embedded devices,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/,7
6, libvirt ,https://summerofcode.withgoogle.com//programs/2022/organizations/libvirt,Virtualization abstraction library,"kvm, hypervisor, qemu, lxc","virtualization, library",https://libvirt.org/,2
7, Jitsi ,https://summerofcode.withgoogle.com//programs/2022/organizations/jitsi,State-of-the-art video conferencing,"javascript, java, react, kotlin, webrtc","video, multimedia, video conferencing, WebRTC",https://jitsi.org,6
8, FOSSology ,https://summerofcode.withgoogle.com//programs/2022/organizations/fossology,Open Source License Compliance by OSS,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",https://fossology.org,6
9, OSGeo (Open Source Geospatial Foundation) ,https://summerofcode.withgoogle.com//programs/2022/organizations/osgeo-open-source-geospatial-foundation,The Open Source Geospatial Foundation,"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",https://www.osgeo.org/,6
