,Organisation Name,OrgUrls,Desc,Technologies,Topic,Organisation site,number of Projects
137, Genome Assembly and Annotation ,https://summerofcode.withgoogle.com//programs/2023/organizations/genome-assembly-and-annotation,Providing freely accessible genomic data,"python, mysql, docker, pytorch, nextflow","machine learning, genomics, big data, cloud, hpc",https://www.ebi.ac.uk/,5
138, Postman ,https://summerofcode.withgoogle.com//programs/2023/organizations/postman,The Future is API-First,"javascript, api, openapi, AsyncAPI, JSON Schema","testing, api, automation, documentation, data",https://postman.com,8
139, Organic Maps ,https://summerofcode.withgoogle.com//programs/2023/organizations/organic-maps,"Offline maps app for tourists, cyclers & hikers","android, java, c++, ios, OpenStreetMap","privacy, maps, navigation, mobile, offline",https://organicmaps.app,3
140, Gentoo Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/gentoo-foundation,"A flexible, source-based Linux distribution.","c, python, shell, linux, bash","operating systems, security, embedded, init, package",https://www.gentoo.org/,3
141, GnuTLS ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnutls,C library implementing TLS and DTLS,"c, Cryptography, TLS","security, cryptography, TLS, DTLS",https://gitlab.com/gnutls/gnutls,2
142, CGAL Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/cgal-project,C++ library of computational geometry,"c++, qt","geometry, mesh processing, computation geometry, geometry processing",https://www.cgal.org,10
143, Wikimedia Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/wikimedia-foundation,Brings free educational content to the world,"python, javascript, html, php, css","semantic web, wikipedia, wikimedia, mediawiki, i18n",http://wikimediafoundation.org/,9
144, FLARE ,https://summerofcode.withgoogle.com//programs/2023/organizations/flare,Industry leading malware analysis,"python, ida-pro, Ghidra","emulation, disassembly, decompilation, malware-analysis, reverse-engineering",https://www.mandiant.com/,4
145, OpenStreetMap ,https://summerofcode.withgoogle.com//programs/2023/organizations/openstreetmap,Create and distribute free geodata for the world,"javascript, java, c++","databases, web, routing, ui, geodata",https://www.openstreetmap.org/,4
146, RTEMS Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/rtems-project,A real-time operating system for Earth & Space,"python, c/c++, assembly, posix","kernel, embedded, real-time, multicore, rtos",https://www.rtems.org/,3
147, National Resource for Network Biology (NRNB) ,https://summerofcode.withgoogle.com//programs/2023/organizations/national-resource-for-network-biology-nrnb,Developing open source tools for network biology,"python, javascript, java, html, r","web application, data science, graphics, scientific computing, network biology",https://nrnb.org/gsoc.html,8
148, Mayor's Office of New Urban Mechanics ,https://summerofcode.withgoogle.com//programs/2023/organizations/mayors-office-of-new-urban-mechanics,Exploring new approaches to civic life.,"python, javascript, ruby, tensorflow","web, machine learning, gis, civic tech, analytics",https://www.boston.gov/departments/innovation-and-technology,4
149, MetaCall ,https://summerofcode.withgoogle.com//programs/2023/organizations/metacall,Simplifying the embedding of programming languages,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",https://metacall.io,4
150, Ste||ar group ,https://summerofcode.withgoogle.com//programs/2023/organizations/stear-group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,5
151, Micro Electronics Research Lab - UITU ,https://summerofcode.withgoogle.com//programs/2023/organizations/micro-electronics-research-lab-uitu,Accelerating Engineering Innovation,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V",https://www.merledupk.org,1
152, KubeVirt ,https://summerofcode.withgoogle.com//programs/2023/organizations/kubevirt,Building a virtualization API for Kubernetes,"golang, grpc","virtualization, containers, kubernetes",https://kubevirt.io,1
153, Zulip ,https://summerofcode.withgoogle.com//programs/2023/organizations/zulip,Organized team chat app designed for efficiency.,"python, django, flutter, css, typescript","great developer tooling, visual design, teaching quality codebase, team chat, integrations",https://zulip.com/,13
154, CRIU ,https://summerofcode.withgoogle.com//programs/2023/organizations/criu,Chekpoint/Restore for Linux tasks and containers,"c, python, linux, go","cloud, containers, Checkpoint/Restore",https://criu.org,3
155, Blender Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/blender-foundation,The Freedom to Create,"c, python, opengl, c++, vulkan","games, graphics, 3d, rendering, animation",https://www.blender.org,5
156, Red Hen Lab ,https://summerofcode.withgoogle.com//programs/2023/organizations/red-hen-lab,Research on Multimodal Communication,"python, machine learning, nlp, ai, data science","data science, ai, language, multimodal communication, gesture",http://www.redhenlab.org,5
