,Organisation Name,OrgUrls,Desc,Technologies,Topic,Organisation site,number of Projects
63, GCP Scanner ,https://summerofcode.withgoogle.com//programs/2023/organizations/gcp-scanner,Security scanning tool for Google Cloud,"python, google cloud","security, automation, scanning, google cloud",https://github.com/google/gcp_scanner/wiki/Google-Summer-of-Code-2023,3
64, Inkscape ,https://summerofcode.withgoogle.com//programs/2023/organizations/inkscape,Draw freely!,"python, c++, svg","web, graphics, design",https://inkscape.org,2
65, The Mifos Initiative ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-mifos-initiative,End Poverty One Line of Code at a Time,"android, java, kotlin, spring, angular","artificial intelligence, cloud, fintech, financial inclusion, mobile banking",https://mifos.org,10
66, GitLab ,https://summerofcode.withgoogle.com//programs/2023/organizations/gitlab,Everyone can contribute,"javascript, ruby on rails, go, ruby, vue","cloud, devops",https://gitlab.com,3
67, QEMU ,https://summerofcode.withgoogle.com//programs/2023/organizations/qemu,Open source machine emulator and virtualizer,"c, python, linux, rust","systems programming, kernel, compiler, emulator, hypervisor",https://qemu.org/,6
68, Global Alliance for Genomics and Health ,https://summerofcode.withgoogle.com//programs/2023/organizations/global-alliance-for-genomics-and-health,We develop genomics tools to benefit human health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards",https://ga4gh.org,7
69, Mantis ,https://summerofcode.withgoogle.com//programs/2023/organizations/mantis,Stream Processing for Operational Analytics,"java, Rxjava, Akka, Netty","cloud, distributed systems, Operational Analytics",https://netflix.github.io/mantis/,2
70, Sugar Labs ,https://summerofcode.withgoogle.com//programs/2023/organizations/sugar-labs,Learning software for children,"python, gtk, typescript, javascipt","education, games, desktop",https://sugarlabs.org,8
71, libssh ,https://summerofcode.withgoogle.com//programs/2023/organizations/libssh,The SSH library,"c, ci, ssh","security, cryptography",https://www.libssh.org/,2
72, GNU Octave ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnu-octave,Free Your Numbers,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://www.octave.org,2
73, Learning Equality ,https://summerofcode.withgoogle.com//programs/2023/organizations/learning-equality,Building equity in education to transform lives,"python, javascript, django, vue.js","education, distributed databases, offline, learning",https://learningequality.org/,3
74, Open Genome Informatics ,https://summerofcode.withgoogle.com//programs/2023/organizations/open-genome-informatics,Open access genomics and bioinformatics projects,"python, react, r-project, graph, angular","genomics, bioinformatics, biology, data discovery",http://gmod.org/wiki/GSoC,1
75, GNOME Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnome-foundation,A diverse and sustainable free software desktop.,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",https://gnome.org,9
76, UC OSPO ,https://summerofcode.withgoogle.com//programs/2023/organizations/uc-ospo,Amplifying Research Impact through Open Source,"python, c/c++, machine learning, verilog, VLSI","education, hardware, storage, AI/ML, I/O",https://ucsc-ospo.github.io/osre24/,14
77, Submitty ,https://summerofcode.withgoogle.com//programs/2023/organizations/submitty,Homework Autograding and Course Management Tools,"python, postgresql, javascript, c++, php","education, visualization, web, privacy/security, communication",https://submitty.org,3
78, TARDIS RT Collaboration ,https://summerofcode.withgoogle.com//programs/2023/organizations/tardis-rt-collaboration,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io,6
79, FreeCAD ,https://summerofcode.withgoogle.com//programs/2023/organizations/freecad,Cross-platform 3D parametric modeler,"python, c++, qt, OpenCASCADE, OpenInventor","engineering, graphics, cad, architecture, CAM",https://freecad.org,4
80, OpenWISP ,https://summerofcode.withgoogle.com//programs/2023/organizations/openwisp,The Hackable Network Management System,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.org,1
81, Git ,https://summerofcode.withgoogle.com//programs/2023/organizations/git,"Fast,Scalable,Distributed revision control system","shell script, git, c language","version control, dvcs",https://git-scm.com/,2
82, R project for statistical computing ,https://summerofcode.withgoogle.com//programs/2023/organizations/r-project-for-statistical-computing,R software for statistical computing & graphics,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",https://www.r-project.org/,9
83, DBpedia ,https://summerofcode.withgoogle.com//programs/2023/organizations/dbpedia,Global and Unified Access to Knowledge Graphs.,"python, javascript, java, scala, rdf","semantic web, linked data, knowledge graph, data extraction, largelanguagemodel",https://www.dbpedia.org/,6
84, GNU Radio ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnu-radio,The free & open software radio ecosystem,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio",https://www.gnuradio.org,1
85, X.Org Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/xorg-foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl, vulkan, x11, wayland, DRM","graphics, kernel, drivers",https://www.x.org,5
86, SQLancer ,https://summerofcode.withgoogle.com//programs/2023/organizations/sqlancer,Automatically testing database systems,"java, sql","fuzzing, Automated Testing, Logic bugs, Database systems",https://www.sqlancer.com,2
87, caMicroscope ,https://summerofcode.withgoogle.com//programs/2023/organizations/camicroscope,Toolkit for cancer imaging research,"python, javascript, mongodb, opencv, node","data visualization, image analysis, AI/ML, microscopy, dicom pathology",https://camicroscope.github.io,2
88, Django Software Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/django-software-foundation-8o,Web framework for perfectionists with deadlines,"python, django","web, python",https://www.djangoproject.com,1
89, Kiwix ,https://summerofcode.withgoogle.com//programs/2023/organizations/kiwix,Internet content available offline.,"python, c++, nodejs, kotlin, vue.js","offline, browser, compression",https://www.kiwix.org,2
90, gprMax ,https://summerofcode.withgoogle.com//programs/2023/organizations/gprmax,Simulating electromagnetic wave propagation,"python, cuda, openmp, mpi, opencl","science, engineering, geophysics, electromagnetics, ground penetrating radar",https://www.gprmax.com,4
91, The NetBSD Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-netbsd-foundation,Of course it runs NetBSD,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",https://www.NetBSD.org/,2
92, Creative Commons ,https://summerofcode.withgoogle.com//programs/2023/organizations/creative-commons,Nonprofit building a global digital commons.,"python, javascript, php, css, wordpress","web, nonprofit, copyleft, creative commons, legal",https://opensource.creativecommons.org/,1
93, TensorFlow ,https://summerofcode.withgoogle.com//programs/2023/organizations/tensorflow-d1,TensorFlow is a ML framework for everyone.,"machine learning, tensorflow, ai, Jax, keras","education, research, machine learning, on-device machine learning",https://www.tensorflow.org/,6
94, CloudCV ,https://summerofcode.withgoogle.com//programs/2023/organizations/cloudcv,Building platforms for reproducible AI Research,"python, django, docker, angularjs, aws","machine learning, artificial intelligence, computer vision, deep learning, AI/ML",https://cloudcv.org/,2
95, Synfig ,https://summerofcode.withgoogle.com//programs/2023/organizations/synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,2
96, XWiki ,https://summerofcode.withgoogle.com//programs/2023/organizations/xwiki,The Advanced Open Source Enterprise Wiki,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data",https://www.xwiki.org/,1
97, BRL-CAD ,https://summerofcode.withgoogle.com//programs/2023/organizations/brl-cad,3D CAD & other computer-aided tech (CAx),"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, deep neural net rendering",https://opencax.github.io/,5
98, Unikraft ,https://summerofcode.withgoogle.com//programs/2023/organizations/unikraft,A Fast and Secure Unikernel SDK,"c, xen, golang, kvm, assembly language","virtualization, cloud, software reuse, software configurability",https://unikraft.org/,4
99, Wagtail ,https://summerofcode.withgoogle.com//programs/2023/organizations/wagtail,The powerful Python CMS for modern websites,"python, javascript, django","web, accessibility, cms",https://wagtail.org/,2
100, libcamera ,https://summerofcode.withgoogle.com//programs/2023/organizations/libcamera,Provide an open source camera stack for linux,"c/c++, linux kernel, qt5, gstreamer, v4l2","camera, image prcessing",https://libcamera.org,2
101, AboutCode ,https://summerofcode.withgoogle.com//programs/2023/organizations/aboutcode,"Scan code for origin, license and vulnerabilities","python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",https://aboutcode.org,2
102, The Julia Language ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-julia-language,A fresh approach to technical computing,"machine learning, julia, data science, compilers, garbage-collection","math, machine learning, science, data science, graphs",https://julialang.org,14
103, Open Chemistry ,https://summerofcode.withgoogle.com//programs/2023/organizations/open-chemistry,Advancing Open Source & Open Science for Chemistry,"python, javascript, opengl, c++, c++14","data science, graphics, scientific visualization, cheminformatics, quantum chemistry",https://openchemistry.org/,8
104, 52°North Spatial Information Research GmbH ,https://summerofcode.withgoogle.com//programs/2023/organizations/52north-spatial-information-research-gmbh,Innovative ideas & technologies in geoinformatics,"javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation",https://52north.org/,3
105, GNU Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnu-project,Development of the GNU Operating System,"c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools",https://www.gnu.org,7
106, MDAnalysis ,https://summerofcode.withgoogle.com//programs/2023/organizations/mdanalysis,Analysis of molecular simulations data with Python,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, soft-matter-physics",https://www.mdanalysis.org,2
107, OpenAstronomy ,https://summerofcode.withgoogle.com//programs/2023/organizations/openastronomy,Look at the Universe with the power of open source,"c, python, julia","image processing, astronomy, solar physics, high energy astrophysics",https://openastronomy.org/,6
