,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
29, Machine Learning for Science (ML4SCI) ,https://summerofcode.withgoogle.com//programs/2024/organizations/machine-learning-for-science-ml4sci,Machine learning applications in science,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",https://ml4sci.org/,27
30, Apertium ,https://summerofcode.withgoogle.com//programs/2024/organizations/apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",https://apertium.org/,4
31, IOOS ,https://summerofcode.withgoogle.com//programs/2024/organizations/ioos,"Our eyes on the ocean, coasts, and Great Lakes","python, javascript, java, ocean science, Scientific Python","open data, data science, data management, Oceanography",https://ioos.noaa.gov/,6
32, Free and Open Source Silicon Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/free-and-open-source-silicon-foundation,Working together for Free and Open Source Silicon,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org,7
33, OpenStreetMap ,https://summerofcode.withgoogle.com//programs/2024/organizations/openstreetmap,Create and distribute free geodata for the world,"javascript, java, c++","databases, web, routing, ui, geodata",https://www.openstreetmap.org/,4
34, Unikraft ,https://summerofcode.withgoogle.com//programs/2024/organizations/unikraft,A Fast and Secure Unikernel SDK,"c, xen, golang, kvm, assembly language","virtualization, cloud, software reuse, software configurability",https://unikraft.org/,5
35, Blender Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/blender-foundation,The Freedom to Create,"c, python, opengl, c++, vulkan","games, graphics, 3d, rendering, animation",https://www.blender.org,6
36, OpenAstronomy ,https://summerofcode.withgoogle.com//programs/2024/organizations/openastronomy,Look at the Universe with the power of open source,"c, python, julia","image processing, astronomy, solar physics, high energy astrophysics",https://openastronomy.org/,8
37, checkstyle ,https://summerofcode.withgoogle.com//programs/2024/organizations/checkstyle,Helps to adheres of Java coding standard,"java, antlr","static code analysis, code review tool, coding standards, coding conventions",https://checkstyle.org,3
38, OpenCV ,https://summerofcode.withgoogle.com//programs/2024/organizations/opencv,#NAME?,"python, c++, deep learning, ai","robotics, computer vision, ai, deep learning",https://opencv.org/,7
39, VideoLAN ,https://summerofcode.withgoogle.com//programs/2024/organizations/videolan,Open Source Multimedia for everyone!,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",https://www.videolan.org,14
40, The ns-3 Network Simulator Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-ns-3-network-simulator-project,ns-3 is a simulation tool for computer networks.,"python, django, c++","computer networking, network simulation",https://www.nsnam.org,3
41," Unicode, Inc. ",https://summerofcode.withgoogle.com//programs/2024/organizations/unicode-inc,Bringing internationalization to software!,"java, c++, rust, unicode","compilers, linguistics, languages, internationalization",https://home.unicode.org,4
42, AsyncAPI ,https://summerofcode.withgoogle.com//programs/2024/organizations/asyncapi,Building the future of Event-Driven Architectures,"javascript, java, go, typescript, RAML","web, api, cloud, Architectures",https://www.asyncapi.com/,4
43," Stratosphere Laboratory, Czech Technical University in Prague ",https://summerofcode.withgoogle.com//programs/2024/organizations/stratosphere-laboratory-czech-technical-university-in-prague,Using machine learning and security to help others,"python, redis, docker, textual","machine learning, network security, civil society, Security Defense",https://www.stratosphereips.org/,1
44, Apache Software Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/apache-software-foundation,Open source software to the public free of charge,"c, java, c++","big data, cloud, libraries, other",https://apache.org,22
45, Graphite ,https://summerofcode.withgoogle.com//programs/2024/organizations/graphite,Redefining state‑of‑the‑art graphics editing,"rust, typescript, ai, webgpu, stable diffusion","graphics, computational geometry, rendering, design, animation",https://graphite.rs,3
46, libssh ,https://summerofcode.withgoogle.com//programs/2024/organizations/libssh,The SSH library,"c, ci, ssh","security, cryptography",https://www.libssh.org/,2
47, The Mifos Initiative ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-mifos-initiative,End Poverty One Line of Code at a Time,"android, java, kotlin, spring, angular","artificial intelligence, cloud, fintech, financial inclusion, mobile banking",https://mifos.org,11
48, Open Transit Software Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-transit-software-foundation,Help make public transit better,"android, java, swift, docker, ios","apps, Transit, travel, bus",https://opentransitsoftwarefoundation.org,5
49, OpenMRS ,https://summerofcode.withgoogle.com//programs/2024/organizations/openmrs,"Write Code, Save Lives.","mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://openmrs.org/,6
50, MuseScore ,https://summerofcode.withgoogle.com//programs/2024/organizations/musescore,The World’s Most Popular Music Notation Software,"c++, qt, qml, cmake","music, midi, musicxml, sheet music, music notation",https://musescore.org/,2
51, QC-Devs ,https://summerofcode.withgoogle.com//programs/2024/organizations/qc-devs,Sustainable software for quantum chemistry & more,"python, github, c++, julia, jupyter","data science, scientific visualization, quantum chemistry, Computational Science, numerical algorithms",https://qcdevs.org/,2
52, MariaDB ,https://summerofcode.withgoogle.com//programs/2024/organizations/mariadb,The fastest growing Open Source Database,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",https://mariadb.org,6
53, The JPF team ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-jpf-team-hg,JPF is a Java VM used to verify and debug software,"android, java, distributed systems, jvm","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation",https://github.com/javapathfinder/jpf-core/wiki,4
54, GNU Compiler Collection (GCC) ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnu-compiler-collection-gcc,GNU compilers,"c/c++, gnu make, gnu autotools","compilers, developer tools, toolchain, openmp, link time optimization",https://gcc.gnu.org/,7
55, Kotlin Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/kotlin-foundation,Advance the Kotlin programming language,"gradle, kotlin, jvm, Parsers & Compilers, Multiplatform","compilers, programming languages, software development, libraries, Programming & Build Tools",https://kotlinfoundation.org/,5
56, MDAnalysis ,https://summerofcode.withgoogle.com//programs/2024/organizations/mdanalysis,Analysis of molecular simulations data with Python,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, soft-matter-physics",https://www.mdanalysis.org,3
57, FreeCAD ,https://summerofcode.withgoogle.com//programs/2024/organizations/freecad,Cross-platform 3D parametric modeler,"python, c++, qt, OpenCASCADE, OpenInventor","engineering, graphics, cad, architecture, CAM",https://freecad.org,2
58, XMPP Standards Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/xmpp-standards-foundation,XSF develops an open-standard messaging protocol,"gtk, vala, xmpp, swift, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",https://xmpp.org/,2
59, Kubeflow ,https://summerofcode.withgoogle.com//programs/2024/organizations/kubeflow,The Machine Learning Toolkit for Kubernetes (AI),"python, go, kubernetes, typescript, YAML","machine learning, kubernetes, AI/ML, generative AI",https://kubeflow.org,9
60, Robolectric ,https://summerofcode.withgoogle.com//programs/2024/organizations/robolectric,Fast unit testing runtime for Android,"android, java, jvm, asm","testing, mobile",http://robolectric.org/,3
61, Ceph ,https://summerofcode.withgoogle.com//programs/2024/organizations/ceph,The Future of Storage,"python, javascript, c++","distributed systems, Software-Defined-Storage",https://ceph.io/en/,3
62, CCExtractor Development ,https://summerofcode.withgoogle.com//programs/2024/organizations/ccextractor-development,"TV, Rust, Flutter, Linux, VR and C. In any order.","c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://www.ccextractor.org,9
63, LibreOffice ,https://summerofcode.withgoogle.com//programs/2024/organizations/libreoffice,LibreOffice is a free and open source office suite,"python, java, c++","office suite, desktop application, end user application",https://www.libreoffice.org/,8
64, Micro Electronics Research Lab - UITU ,https://summerofcode.withgoogle.com//programs/2024/organizations/micro-electronics-research-lab-uitu,Accelerating Engineering Innovation,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V",https://www.merledupk.org,5
65, MoveIt ,https://summerofcode.withgoogle.com//programs/2024/organizations/moveit,Moving robots into the future,"python, ros, c++, rust","robotics, motion planning, trajectory generation, kinematics",https://moveit.ros.org,3
66, GNOME Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnome-foundation,A diverse and sustainable free software desktop.,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",https://gnome.org,8
67, Django Software Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/django-software-foundation-8o,Web framework for perfectionists with deadlines,"python, django","web, python",https://www.djangoproject.com,4
68, AnkiDroid ,https://summerofcode.withgoogle.com//programs/2024/organizations/ankidroid,AnkiDroid makes remembering things easy,"android, rust, kotlin, mobile","education, mobile, android, user generated content, Flashcards",https://github.com/ankidroid/Anki-Android,3
69, MIT App Inventor ,https://summerofcode.withgoogle.com//programs/2024/organizations/mit-app-inventor,Anyone can build apps with global impact.,"javascript, java, gwt, swift","education, development tools, android, ios",http://appinventor.mit.edu,5
70, Postman ,https://summerofcode.withgoogle.com//programs/2024/organizations/postman,The Future is API-First,"javascript, api, openapi, AsyncAPI, JSON Schema","testing, api, automation, documentation, data",https://postman.com,9
71, freifunk ,https://summerofcode.withgoogle.com//programs/2024/organizations/freifunk,Free and open wireless networks,"c, python, javascript, openwrt, gnu/linux","embedded systems, open hardware, routing, wireless networks, federation",https://freifunk.net/en,7
72, Neutralinojs ,https://summerofcode.withgoogle.com//programs/2024/organizations/neutralinojs,Lightweight cross-platform desktop app framework,"c, javascript, node.js, c++, typescript","desktop, framework, cross-platform, Application Development",https://neutralino.js.org,3
73, DatenLord ,https://summerofcode.withgoogle.com//programs/2024/organizations/datenlord-6z,High-performance AI+Cloud infrastructure provider.,"rust, kubernetes, Distributed key-value store, Fault tolerant, Metadata management","cloud, open source, storage, Data Infrastructure",https://datenlord.github.io/,2
74, GNSS-SDR ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnss-sdr,An open source GNSS software-defined receiver,"c, c++, sdr","gnss, geolocation, navigation, software defined radio, communications",https://gnss-sdr.org/,3
75, Submitty ,https://summerofcode.withgoogle.com//programs/2024/organizations/submitty,Homework Autograding and Course Management Tools,"python, postgresql, javascript, c++, php","education, visualization, web, privacy/security, communication",https://submitty.org,4
76, eunomia-bpf ,https://summerofcode.withgoogle.com//programs/2024/organizations/eunomia-bpf,Unleash eBPF Potential with our tools and runtimes,"linux, llvm, ebpf, webassembly","cloud, OS, runtime",https://eunomia.dev/,3
77, LLVM Compiler Infrastructure ,https://summerofcode.withgoogle.com//programs/2024/organizations/llvm-compiler-infrastructure,LLVM Compiler Infrastructure,"llvm, c++, clang, mlir","compilers, development tools, libraries",http://www.llvm.org,14
78, FreeType ,https://summerofcode.withgoogle.com//programs/2024/organizations/freetype,FreeType is a software library to render fonts.,"c, autotools, meson","library, rendering, fonts, opentype, truetype",https://freetype.org,1
79, OpenWISP ,https://summerofcode.withgoogle.com//programs/2024/organizations/openwisp,The Hackable Network Management System,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.org,2
80, sktime ,https://summerofcode.withgoogle.com//programs/2024/organizations/sktime,A unified framework for ML with time series,"python, github, sphinx, scikit-learn","data science, ai, time series, toolbox frameworks",https://www.sktime.net/en/stable/,5
81, Open Technologies Alliance - GFOSS ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-technologies-alliance-gfoss,Promote Open Standards and Open Source,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, Artificial Inteligence",http://www.gfoss.eu,10
82, Drupal Association ,https://summerofcode.withgoogle.com//programs/2024/organizations/drupal-association,The best open source digital experience platform,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive",https://drupal.org,6
83, Swift ,https://summerofcode.withgoogle.com//programs/2024/organizations/swift,"Fast, safe, and expressive programming language","c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",https://swift.org,4
84, Internet Archive ,https://summerofcode.withgoogle.com//programs/2024/organizations/internet-archive,Universal Access to All Knowledge,"python, javascript, go, elasticsearch, hadoop","library, media, archiving",http://archive.org,3
85, Purr Data ,https://summerofcode.withgoogle.com//programs/2024/organizations/purr-data,Realtime Audio/Visual Programming Environment,"c, javascript, html5, Emscripten","web, graphics, audio, realtime",https://www.purrdata.net/,4
86, FOSSASIA ,https://summerofcode.withgoogle.com//programs/2024/organizations/fossasia-bg,Free and Open Source Software in Asia,"python, javascript, android","web, android",https://fossasia.org,8
87, webpack ,https://summerofcode.withgoogle.com//programs/2024/organizations/webpack,webpack is the module bundler for web projects,"javascript, typescript, node","web development, javascript, webassembly, Node.js, webpack",https://webpack.js.org,3
88, DBpedia ,https://summerofcode.withgoogle.com//programs/2024/organizations/dbpedia,Global and Unified Access to Knowledge Graphs.,"python, javascript, java, scala, rdf","semantic web, linked data, knowledge graph, data extraction, largelanguagemodel",https://www.dbpedia.org/,6
89, OSGeo (Open Source Geospatial Foundation) ,https://summerofcode.withgoogle.com//programs/2024/organizations/osgeo-open-source-geospatial-foundation,The Open Source Geospatial Foundation,"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",https://www.osgeo.org/,7
90, Scalable Parallel Computing Laboratory ,https://summerofcode.withgoogle.com//programs/2024/organizations/scalable-parallel-computing-laboratory,High-performance computing for clusters and clouds,"python, c++, mpi, aws, Serverless","programming languages, high-performance computing, parallel computing, Serverless Computing, faas",https://spcl.inf.ethz.ch/,4
91, AFLplusplus ,https://summerofcode.withgoogle.com//programs/2024/organizations/aflplusplus,State of the art fuzzing for better security,"llvm, rust, fuzzing, qemu","fuzzing, ci",https://aflplus.plus,2
92, SageMath ,https://summerofcode.withgoogle.com//programs/2024/organizations/sagemath,Open-source mathematics software system,"python, cython","mathematics, education, research",https://www.sagemath.org,6
93, Waycrate ,https://summerofcode.withgoogle.com//programs/2024/organizations/waycrate,Writing robust tools for the Wayland protocol,"c, c++, rust, wayland, Zig","graphics, Wayland, ScreenCapture, Wayland Compositor, Desktop Portals",https://waycrate.github.io/,3
94, Wellcome Sanger Tree of Life ,https://summerofcode.withgoogle.com//programs/2024/organizations/wellcome-sanger-institute,Genome analysis for all species,"python, opengl, rust, groovy, nextflow","machine learning, genomics, bioinformatics, genome assembly, genome analysis",https://www.sanger.ac.uk/programme/tree-of-life/,3
95, JdeRobot ,https://summerofcode.withgoogle.com//programs/2024/organizations/jderobot,Toolkit for developing Robotics applications,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",http://jderobot.github.io,5
96, Internet Health Report ,https://summerofcode.withgoogle.com//programs/2024/organizations/internet-health-report,Monitoring the Internet,"python, javascript, apache kafka, VueJS","networking, routing, communication, internet, data analytics",https://ihr.iijlab.net,4
97, GeomScale ,https://summerofcode.withgoogle.com//programs/2024/organizations/geomscale,Scalable geometric and statistical software,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://geomscale.github.io,7
98, The Honeynet Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-honeynet-project,Honeypots and Threat Intelligence R&D,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence",https://honeynet.org,9
99, Debian ,https://summerofcode.withgoogle.com//programs/2024/organizations/debian,The Universal Operating System,"python, java, perl, c++, rust","cloud, ai, CI/CD, Android SDK, HPC MPI Benchmarking",https://debian.org,7
100, Open Science Initiative for Perfusion Imaging ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-science-initiative-for-perfusion-imaging,Open access resources for perfusion imaging,"python, github","data visualization, data analysis, medical imaging, reproducible science",https://osipi.ismrm.org/,4
101, Python Software Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/python-software-foundation,A programming language used for science & more,"python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/,30
102, Creative Commons ,https://summerofcode.withgoogle.com//programs/2024/organizations/creative-commons,Nonprofit building a global digital commons.,"python, javascript, php, css, wordpress","web, nonprofit, copyleft, creative commons, legal",https://opensource.creativecommons.org/,3
