,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
132, Haskell.org ,https://summerofcode.withgoogle.com//programs/2024/organizations/haskellorg,Purely functional programming language,"haskell, ghc","compilers, programming languages, functional programming, programming tools",https://haskell.org/,5
133, SymPy ,https://summerofcode.withgoogle.com//programs/2024/organizations/sympy,SymPy is a Python library for symbolic mathematics,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",https://www.sympy.org/,5
134, Software and Computational Systems Lab at LMU Munich ,https://summerofcode.withgoogle.com//programs/2024/organizations/software-and-computational-systems-lab-at-lmu-munich,"Software Verification, SAT & SMT solving","python, java","software verification, benchmarking, program analysis, formal methods, SAT & SMT solving",https://www.sosy-lab.org/,5
135, FLARE ,https://summerofcode.withgoogle.com//programs/2024/organizations/flare,Industry leading malware analysis,"python, ida-pro, Ghidra","emulation, disassembly, decompilation, malware-analysis, reverse-engineering",https://www.mandiant.com/,1
136, CHIPS Alliance ,https://summerofcode.withgoogle.com//programs/2024/organizations/chips-alliance,"Open source IP, tools & standards for ASIC/FPGA","fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",https://chipsalliance.org/,6
137, PEcAn Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/pecan-project,Develop and promote tools for ecosystem modeling,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,",https://pecanproject.github.io/,4
138, Ste||ar group ,https://summerofcode.withgoogle.com//programs/2024/organizations/stear-group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,5
139, CRIU ,https://summerofcode.withgoogle.com//programs/2024/organizations/criu,Chekpoint/Restore for Linux tasks and containers,"c, python, linux, go","cloud, containers, Checkpoint/Restore",https://criu.org,3
140, Eclipse Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/eclipse-foundation,The Global Open Source Foundation,"java, rtos, deeplearning, eclipsejavaide, jakartaee","robotics, automotive, tools, cloud native java, iot & edge",https://www.eclipse.org/,6
141, International Catrobat Association ,https://summerofcode.withgoogle.com//programs/2024/organizations/international-catrobat-association,Free visual coding apps for computational thinking,"javascript, swift, kotlin, php, flutter","education, visual programming, mobile programming, game engines, creativity tools",https://www.catrobat.org,8
142, The NetBSD Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-netbsd-foundation,Of course it runs NetBSD,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",https://www.NetBSD.org/,4
143, 52°North Spatial Information Research GmbH ,https://summerofcode.withgoogle.com//programs/2024/organizations/52north-spatial-information-research-gmbh,Innovative ideas & technologies in geoinformatics,"javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation",https://52north.org/,2
144, BRL-CAD ,https://summerofcode.withgoogle.com//programs/2024/organizations/brl-cad,3D CAD & other computer-aided tech (CAx),"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, deep neural net rendering",https://opencax.github.io/,9
145, BeagleBoard.org ,https://summerofcode.withgoogle.com//programs/2024/organizations/beagleboardorg,Open hardware computing for educators and makers,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://www.beagleboard.org,4
146, FFmpeg ,https://summerofcode.withgoogle.com//programs/2024/organizations/ffmpeg,"Record, convert and stream audio & video","c, git, asm","audio, video, subtitles, multimedia",https://ffmpeg.org/,7
